ID;Name;Categories;Price;Long desc;Short desc;Image URLs
0;Dinosaur Bundle Amigurumi Crochet Kit;Crochet Kits;35.0;"Start your own Jurassic Park with this dinosaur crochet kit! This kit includes all the materials you need to make up to 8 dinosaurs, including a T-rex, Stegosaurus, Triceratops, and Brontosaurus! It even includes instructions for how to customize your dinos with pattern variations and all the colors are interchangeable, meaning you can choose your dinos colors!
Finished dinosaurs measure from 2″ – 4″ tall (depending on the dino).
Kit includes the pattern bundle with 4 unique dinosaur patterns, each with their own full-length video tutorials so you never miss a stitch! Plus a 1 month membership giving you access to hundreds of alternative patterns, including an additional 4 dinos!
*Crocheting 101: How to Crochet for Complete Beginners Included!*";"Description
Kit includes:
• 100% Cotton Amigurumi Yarn
– Yellow
– Blue
– Purple
– Pink
– White
• Plastic Safety Bead Eyes x 16
• Pipe Cleaners x 2
• Stuffing
• Darning Needle
• Ergonomic Crochet Hook (Size G6/4.00mm)
• Foldable Scissors!";http://localhost:8080/img/p/DinosaurBundleAmigurumiCrochetKit_1.jpg|http://localhost:8080/img/p/DinosaurBundleAmigurumiCrochetKit_2.jpg|http://localhost:8080/img/p/DinosaurBundleAmigurumiCrochetKit_3.jpg|http://localhost:8080/img/p/DinosaurBundleAmigurumiCrochetKit_4.jpg|http://localhost:8080/img/p/DinosaurBundleAmigurumiCrochetKit_5.jpg|http://localhost:8080/img/p/DinosaurBundleAmigurumiCrochetKit_6.jpg|http://localhost:8080/img/p/DinosaurBundleAmigurumiCrochetKit_7.jpg|http://localhost:8080/img/p/DinosaurBundleAmigurumiCrochetKit_8.jpg|http://localhost:8080/img/p/DinosaurBundleAmigurumiCrochetKit_9.jpg|http://localhost:8080/img/p/DinosaurBundleAmigurumiCrochetKit_10.jpg|http://localhost:8080/img/p/DinosaurBundleAmigurumiCrochetKit_11.jpg
1;Crocheting 101 – Starter Kit;Crochet Kits;19.99;"Yarning for a new hobby? Crocheting 101 will teach you not only how to crochet, but also how to make 6 unique projects along the way to not only help practice, but put your new skills to the test! Crocheting 101 is built to accommodate any learning style with 25 unique videos and a full 200 page eBook teaching you how to crochet stitch by stitch.
Kit includes all the yarn, hooks, stitch markers and needles I use throughout the series; everything needed to practice crocheting, make the 6 unique projects, and even have a bit left over to eat in case of emergency!";"Description
Kit includes:
• The Yarn (2 Balls)
– High Quality Worsted Weight Cotton – Extra stitch definition and split resistant!*
• 1 Aluminum Size G6/4.00mm Crochet Hook with Handle
• Stuffing
• Darning Needles (1)
• Stitch Markers (2)
• 8mm Safety Eyes x 4
• Pipe cleaner
• Black Thread
• Crocheting 101: How to Crochet for Complete Beginners (Digital eBook Copy)
– Includes Crocheting 101 Video Series – 25 unique videos!
• Bonus Sticker!

Not included in the kit:
• Scissors";http://localhost:8080/img/p/Crocheting101StarterKit_1.jpg|http://localhost:8080/img/p/Crocheting101StarterKit_2.jpg|http://localhost:8080/img/p/Crocheting101StarterKit_3.jpg|http://localhost:8080/img/p/Crocheting101StarterKit_4.jpg|http://localhost:8080/img/p/Crocheting101StarterKit_5.jpg|http://localhost:8080/img/p/Crocheting101StarterKit_6.jpg|http://localhost:8080/img/p/Crocheting101StarterKit_7.jpg|http://localhost:8080/img/p/Crocheting101StarterKit_8.jpg|http://localhost:8080/img/p/Crocheting101StarterKit_9.jpg
2;Seasonal Kit — Sweet Stitches;Crochet Kits;80.0;"In this seasonal kit inspired by sweets and candy, you'll find a variety of projects that feature sugary sweets, from chocolate covered strawberries, to ice cream and pie, and even donuts! With a bonus squeaker and keychain, stuffing, eyes, and thread, plus our exclusive Club Crochet Amigurumi Cotton yarn, this crochet kit has everything you need to never miss a stitch on these sugary sweeties.
What's Included:
This kit includes all the materials you'll need to make all 6 projects in the themed season PLUS 3 month's of Club Crochet Pattern Membership with access to over 300 additional patterns in the library!
The Materials:
6 Balls of 100% Cotton Yarn – 200 ft
Red, Cyan, Pink, Beige, White, and Brown
3 Mini Balls of Yarn – 25 ft
Yellow
Black
Green
6mm Safety Eyes x 10
8mm Safety Eyes x 10
Black Thread - 10 ft
Keychain
Squeaker
2 Stuffing Packets
The Projects:
This kit includes 10 Unique Projects designed for the materials included. However, it also includes dozens of additional alternative patterns that can also be made with your membership!
Giant Strawberry Amigurumi
Mini Pie Amigurumi
Donut Amigurumi
Eclair Amigurumi
Gummy Bear Amigurumi
Ice Cream Amigurumi
???? - Mystery pattern releases February 2023!
???? - Mystery pattern releases February 2023!
???? - Mystery pattern releases March 2023!
???? - Mystery pattern releases March 2023!
35+ Alternative patterns!
Beginner Friendly!
The projects in this kit are designed with beginners in mind with a scaling level of difficulty! You can start with our first, completely beginner friendly pattern, and work your way up in difficulty!
Full length video tutorials for each pattern!
Printer friendly PDFs
Interactive eBook
Bonus 10 chapter beginner series included
Weekly live crochet alongs with the designer!";;http://localhost:8080/img/p/SeasonalKit—SweetStitches_1.jpg|http://localhost:8080/img/p/SeasonalKit—SweetStitches_2.jpg|http://localhost:8080/img/p/SeasonalKit—SweetStitches_3.jpg|http://localhost:8080/img/p/SeasonalKit—SweetStitches_4.jpg|http://localhost:8080/img/p/SeasonalKit—SweetStitches_5.jpg|http://localhost:8080/img/p/SeasonalKit—SweetStitches_6.jpg|http://localhost:8080/img/p/SeasonalKit—SweetStitches_7.jpg|http://localhost:8080/img/p/SeasonalKit—SweetStitches_8.jpg
3;Seasonal Kit — Holiday Hooks;Crochet Kits;80.0;"In this seasonal kit inspired by holidays, you'll find a variety of projects around Halloween, Thanksgiving, and Christmas! With bonus keychains, paper cones, pipe cleaners, stuffing, eyes, and thread, plus our exclusive Club Crochet Amigurumi Cotton yarn, this crochet kit has everything you need to never miss a stitch on these holiday hookups.
What's Included:
This kit includes all the materials you'll need to make all 6 projects in the themed season PLUS 3 month's of Club Crochet Pattern Membership with access to over 300 additional patterns in the library!
The Materials:
6 Balls of 100% Cotton Yarn – 200 ft
Yellow, Orange, White, Forest Green, Red, and Brown
1 Mini Balls of Yarn – 25 ft
Black
6mm Safety Eyes x 10
8mm Safety Eyes x 10
Black Thread - 10 ft
2 Keychains
3 Pipe Cleaners
2 Stuffing Packets
1 Paper Adhesive Cone
1 Mini Golden Bell
The Projects:
This kit includes 6 Unique Projects designed for the materials included. However, it also includes dozens of additional alternative patterns that can also be made with your membership!
Candy Corn Amigurumi
Pumpkin Amigurumi
Ghost Amigurumi
Turkey Leg Amigurumi
???? - Mystery pattern releases November 2023!
???? - Mystery pattern releases December 2023!
35+ Alternative patterns!
Beginner Friendly!
The projects in this kit are designed with beginners in mind with a scaling level of difficulty! You can start with our first, completely beginner friendly pattern, and work your way up in difficulty!
Full length video tutorials for each pattern!
Printer friendly PDFs
Interactive eBook
Bonus 10 chapter beginner series included
Weekly live crochet alongs with the designer!";;http://localhost:8080/img/p/SeasonalKit—HolidayHooks_1.jpg|http://localhost:8080/img/p/SeasonalKit—HolidayHooks_2.jpg|http://localhost:8080/img/p/SeasonalKit—HolidayHooks_3.jpg|http://localhost:8080/img/p/SeasonalKit—HolidayHooks_4.jpg|http://localhost:8080/img/p/SeasonalKit—HolidayHooks_5.jpg|http://localhost:8080/img/p/SeasonalKit—HolidayHooks_6.jpg|http://localhost:8080/img/p/SeasonalKit—HolidayHooks_7.jpg|http://localhost:8080/img/p/SeasonalKit—HolidayHooks_8.jpg|http://localhost:8080/img/p/SeasonalKit—HolidayHooks_9.jpg
4;Seasonal Kit — Under the Sea;Crochet Kits;80.0;"In this seasonal kit inspired by ocean life, you'll find a variety of projects that feature creatures the sea, from whales and sharks, to octopi and squid, and even sea horses! With bonus keychains and pipe cleaners, stuffing, eyes, and thread, plus our exclusive Club Crochet Amigurumi Cotton yarn, this crochet kit has everything you need to never miss a stitch on these under water cuties.
What's Included:
This kit includes all the materials you'll need to make all 6 projects in the themed season PLUS 3 month's of Club Crochet Pattern Membership with access to over 300 additional patterns in the library!
The Materials:
6 Balls of 100% Cotton Yarn – 200 ft
Purple, Cyan, Pink, Black, White, and Teal
1 Mini Balls of Yarn – 25 ft
Yellow
6mm Safety Eyes x 10
8mm Safety Eyes x 10
Black Thread - 10 ft
4 Keychains
9 Pipe Cleaners
2 Stuffing Packets
The Projects:
This kit includes 6 Unique Projects designed for the materials included. However, it also includes dozens of additional alternative patterns that can also be made with your membership!
Mini Whale Amigurumi (makes 5 different whales!)
Sea Horse Amigurumi
Angler Fish Amigurumi
Octopus and Squid Amigurumi
???? - Mystery pattern releases August 2023!
???? - Mystery pattern releases September 2023!
35+ Alternative patterns!
Beginner Friendly!
The projects in this kit are designed with beginners in mind with a scaling level of difficulty! You can start with our first, completely beginner friendly pattern, and work your way up in difficulty!
Full length video tutorials for each pattern!
Printer friendly PDFs
Interactive eBook
Bonus 10 chapter beginner series included
Weekly live crochet alongs with the designer!";;http://localhost:8080/img/p/SeasonalKit—UndertheSea_1.jpg|http://localhost:8080/img/p/SeasonalKit—UndertheSea_2.jpg|http://localhost:8080/img/p/SeasonalKit—UndertheSea_3.jpg|http://localhost:8080/img/p/SeasonalKit—UndertheSea_4.jpg|http://localhost:8080/img/p/SeasonalKit—UndertheSea_5.jpg|http://localhost:8080/img/p/SeasonalKit—UndertheSea_6.jpg|http://localhost:8080/img/p/SeasonalKit—UndertheSea_7.jpg|http://localhost:8080/img/p/SeasonalKit—UndertheSea_8.jpg
5;Seasonal Kit — Photosynthesis;Crochet Kits;80.0;"In this seasonal kit inspired by plant life, you'll find a variety of projects that feature different aspects of plants, from flowers and succulents, to trees and cactus, and even hour home itself! We hope these patterns bring a touch of nature to your crochet projects and inspire you to create your own unique designs.
What's Included:
This kit includes all the materials you'll need to make all 6 projects in the themed season PLUS 3 month's of Club Crochet Pattern Membership with access to over 300 additional patterns in the library!
The Materials:
6 Balls of 100% Cotton Yarn – 200 ft
Brown, Forest Green, Country Green, Yellow, Beige, and Blue
2 Mini Balls of Yarn – 25 ft
Black and White
6mm Safety Eyes x 10
8mm Safety Eyes x 10
Black Thread - 10 ft
9” of strong wire
3 Pipe Cleaners
10 Green Pompoms
2 Stuffing Packets
The Projects:
This kit includes 6 Unique Projects designed for the materials included. However, it also includes dozens of additional alternative patterns that can also be made with your membership!
Cactus Amigurumi Plants
Planet Earth Keychain
Bonsai Tree Planter
Sunflower Stand
Succulent Amigurumi Planter
Flower Coasters and Pad
35+ Alternative patterns!
Beginner Friendly!
The projects in this kit are designed with beginners in mind with a scaling level of difficulty! You can start with our first, completely beginner friendly pattern, and work your way up in difficulty!
Full length video tutorials for each pattern!
Printer friendly PDFs
Interactive eBook
Bonus 10 chapter beginner series included
Weekly live crochet alongs with the designer!";;http://localhost:8080/img/p/SeasonalKit—Photosynthesis_1.jpg|http://localhost:8080/img/p/SeasonalKit—Photosynthesis_2.jpg|http://localhost:8080/img/p/SeasonalKit—Photosynthesis_3.jpg|http://localhost:8080/img/p/SeasonalKit—Photosynthesis_4.jpg|http://localhost:8080/img/p/SeasonalKit—Photosynthesis_5.jpg|http://localhost:8080/img/p/SeasonalKit—Photosynthesis_6.jpg|http://localhost:8080/img/p/SeasonalKit—Photosynthesis_7.jpg
6;Seasonal Kit — Land Before Twine;Crochet Kits;80.0;"In this seasonal kit inspired by the prehistoric, you'll find a variety of dinosaur themed projects, from the Brontosaurus and Trex, to the pterodactyl above, and even a volcano bag to hold them all in! This crochet kit has everything you need to never miss a stitch, including a keychain, stuffing, and 3 sizes of eyes, plus our exclusive Club Crochet Amigurumi Cotton yarn in 8 different colors!
What's Included:
This kit includes all the materials you'll need to make all 9 projects in the themed season, plus 6 mystery projects! It also includes 3 month's of Club Crochet Pattern Membership with access to over 300 additional patterns in the library!
The Materials:
6 Balls of 100% Cotton Yarn – 200 ft
Red, White, Yellow, Grey, Sage Green, and Blue
1 Small Balls of White Yarn – 45 ft
2 Mini Balls of Yarn – 25 ft
Pink
Black
6mm Safety Eyes x 10
8mm Safety Eyes x 10
12mm Safety Eyes x 10
Keychain
2 Stuffing Packets
The Projects:
This kit includes 10 Unique Projects designed for the materials included. However, it also includes dozens of additional alternative patterns that can also be made with your membership!
Triceratops Amigurumi
T-Rex Amigurumi
Stegosaurus Amigurumi
Pterodactyl Amigurumi
Ankylosaurus Amigurumi
Raptor Amigurumi
Plesiosaur Amigurumi
Brontosaurus Amigurumi
Volcano Bag!
???? - Mystery pattern releases August 2024!
???? - Mystery pattern releases August 2024!
???? - Mystery pattern releases September 2024!
???? - Mystery pattern releases September 2024!
???? - Mystery pattern releases October 2024!
???? - Mystery pattern releases October 2024!
35+ Alternative patterns!
Beginner Friendly!
The projects in this kit are designed with beginners in mind with a scaling level of difficulty! You can start with our first, completely beginner friendly pattern, and work your way up in difficulty!
Full length video tutorials for each pattern!
Printer friendly PDFs
Interactive eBook
Bonus 10 chapter beginner series included
Weekly live crochet alongs with the designer!";;http://localhost:8080/img/p/SeasonalKit—LandBeforeTwine_1.jpg|http://localhost:8080/img/p/SeasonalKit—LandBeforeTwine_2.jpg|http://localhost:8080/img/p/SeasonalKit—LandBeforeTwine_3.jpg|http://localhost:8080/img/p/SeasonalKit—LandBeforeTwine_4.jpg|http://localhost:8080/img/p/SeasonalKit—LandBeforeTwine_5.jpg|http://localhost:8080/img/p/SeasonalKit—LandBeforeTwine_6.jpg|http://localhost:8080/img/p/SeasonalKit—LandBeforeTwine_7.jpg|http://localhost:8080/img/p/SeasonalKit—LandBeforeTwine_8.jpg|http://localhost:8080/img/p/SeasonalKit—LandBeforeTwine_9.jpg
7;Seasonal Kit — Space Crafts;Crochet Kits;80.0;"In this seasonal kit inspired by the cosmos, you'll find a variety of space-themed projects, from aliens and UFOs, to the stars in the sky, and even the planet Earth! With a string of lights and keychain, stuffing, eyes, and thread, plus our exclusive Club Crochet Amigurumi Cotton yarn, this crochet kit has everything you need to never miss a stitch on these interstellar creations.
What's Included:
This kit includes all the materials you'll need to make all 6 projects in the themed season PLUS 3 month's of Club Crochet Pattern Membership with access to over 300 additional patterns in the library!
The Materials:
6 Balls of 100% Cotton Yarn – 200 ft
Red, White, Yellow, Grey, Sage Green, and Blue
2 Mini Balls of Yarn – 25 ft
Pink
Black
6mm Safety Eyes x 10
8mm Safety Eyes x 10
Black Thread - 10 ft
Keychain
String of Lights
Strong Wire
2 Stuffing Packets
The Projects:
This kit includes 10 Unique Projects designed for the materials included. However, it also includes dozens of additional alternative patterns that can also be made with your membership!
Rocket Ship
Stars and Moon Amigurumi
UFO and Alien Amigurumi
Planet Earth Amigurumi
Astronaut Amigurumi
Sun Amigurumi
Bix the Alien
Saturn Planet Amigurumi
CroBot 3000 Amigurumi
35+ Alternative patterns!
Beginner Friendly!
The projects in this kit are designed with beginners in mind with a scaling level of difficulty! You can start with our first, completely beginner friendly pattern, and work your way up in difficulty!
Full length video tutorials for each pattern!
Printer friendly PDFs
Interactive eBook
Bonus 10 chapter beginner series included
Weekly live crochet alongs with the designer!";;http://localhost:8080/img/p/SeasonalKit—SpaceCrafts_1.jpg|http://localhost:8080/img/p/SeasonalKit—SpaceCrafts_2.jpg|http://localhost:8080/img/p/SeasonalKit—SpaceCrafts_3.jpg|http://localhost:8080/img/p/SeasonalKit—SpaceCrafts_4.jpg|http://localhost:8080/img/p/SeasonalKit—SpaceCrafts_5.jpg|http://localhost:8080/img/p/SeasonalKit—SpaceCrafts_6.jpg|http://localhost:8080/img/p/SeasonalKit—SpaceCrafts_7.jpg|http://localhost:8080/img/p/SeasonalKit—SpaceCrafts_8.jpg
8;Bonsai Tree and Pot Crochet Kit;Crochet Kits;29.99;"I kept killing my bonsai tree’s, but with this how-to crochet kit you can crocheting one that you’ll never need to water! The pattern is relatively easy but leaves a lot for customization. Your final tree will measure about 5″ tall and you’ll be able to crochet a pot for it to go in, or learn to make your bonsai fit any pots you want! The instructions include a full unique video tutorial to help you get through the tough parts!
This pattern is achievable for BEGINNERS. Visit Crocheting101.com for a free series for complete beginners.
*Includes full-length video tutorial for the more difficult parts of the pattern!*";"Description
Pattern included in the kit with…
• Full length video tutorial
• Printable PDF version
• Interactive checkmarks included for keeping track of progress
• Left handed video version available
Kit includes:
• The Yarn – High Quality 100% Cotton
– Blue
– Green
– Brown
• 10 Green Pom-poms
• Stuffing
• Black Thread
• Pipe Cleaners
• Interactive printer friendly PDF
• Full video tutorial
• Additional Crocheting 101 video series and eBook for beginners
Not included in the kit:
• Scissors
• Crochet Hook (Size G6/4.00mm)
• Darning Needle
Abbreviations (Stitches used)
-Sc : Single Crochet
-Dec/Inc : Decrease/Increase
-InvDec : Invisible Decrease
-FLO/BLO :Front/Back loops only
-St : Stitch or stitches";http://localhost:8080/img/p/BonsaiTreeandPotCrochetKit_1.jpg|http://localhost:8080/img/p/BonsaiTreeandPotCrochetKit_2.jpg|http://localhost:8080/img/p/BonsaiTreeandPotCrochetKit_3.jpg|http://localhost:8080/img/p/BonsaiTreeandPotCrochetKit_4.jpg|http://localhost:8080/img/p/BonsaiTreeandPotCrochetKit_5.jpg|http://localhost:8080/img/p/BonsaiTreeandPotCrochetKit_6.jpg|http://localhost:8080/img/p/BonsaiTreeandPotCrochetKit_7.jpg|http://localhost:8080/img/p/BonsaiTreeandPotCrochetKit_8.jpg
9;Stegosaurus Amigurumi Pattern;Crochet Patterns;2.99;"Pattern can be downloaded immediately after purchase
  In this lesson we’ll be crocheting an adorably dangerous Stegosaurus! This Stegosaurus crochet pattern is designed to match my other miniature crocheted dinosaurs like the Triceratops and Brontosaurus! This little crocheted Stegosaurus dinosaur amigurumi measures about 4 inches long when finished and includes a full length unique video tutorial to help you get through the tough parts!
  *Includes video tutorials for the more difficult parts of the pattern!*";"Description
The Materials:
•The Yarn (Worsted Weight)
– Color A
– Color B
•Size G6/4.00mm Hook
•Stuffing
•Needle
•Safety Bead Eyes x 2 (8mm)
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 2” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 ";http://localhost:8080/img/p/StegosaurusAmigurumiPattern_1.jpg|http://localhost:8080/img/p/StegosaurusAmigurumiPattern_2.jpg|http://localhost:8080/img/p/StegosaurusAmigurumiPattern_3.jpg|http://localhost:8080/img/p/StegosaurusAmigurumiPattern_4.jpg|http://localhost:8080/img/p/StegosaurusAmigurumiPattern_5.jpg|http://localhost:8080/img/p/StegosaurusAmigurumiPattern_6.jpg|http://localhost:8080/img/p/StegosaurusAmigurumiPattern_7.jpg|http://localhost:8080/img/p/StegosaurusAmigurumiPattern_8.jpg
