,name,price,description1,description2
0,The Bawnimals – Crocheted Amigurumi Patterns eBook,$9.99,"**This listing is for a PDF pattern with instructions on making the character, not the character itself. Pattern can be downloaded immediately after purchase**
This amigurumi crochet eBook teaches you how to make and customize Bawnimals, aka small spherical animals that you just can’t help but bawww at! These patterns are all no to low sew patterns, meaning that they are made very quickly with little to no sewing necessary.
Includes the digital eBook including 12+ different features to make a bunch of different creatures, each with their own full-length video tutorials so you never miss a stitch!
*Includes video tutorials for the more difficult parts of the pattern! Additional lefty video available.*","Description
*Includes video tutorials for the more difficult parts of the pattern! Additional lefty video available.*
Materials needed:
– Worsted Weight yarn
– Size US-G/4.00mm
– Needle to sew in ends
– Scissors
– A small amount of stuffing
– Plastic safety bead eyes (8mm+)
Stitches used:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– BLO : Back Loops Only"
1,Dinosaur Bundle Amigurumi Crochet Kit,$35,"Start your own Jurassic Park with this dinosaur crochet kit! This kit includes all the materials you need to make up to 8 dinosaurs, including a T-rex, Stegosaurus, Triceratops, and Brontosaurus! It even includes instructions for how to customize your dinos with pattern variations and all the colors are interchangeable, meaning you can choose your dinos colors!
Finished dinosaurs measure from 2″ – 4″ tall (depending on the dino).
Kit includes the pattern bundle with 4 unique dinosaur patterns, each with their own full-length video tutorials so you never miss a stitch! Plus a 1 month membership giving you access to hundreds of alternative patterns, including an additional 4 dinos!
*Crocheting 101: How to Crochet for Complete Beginners Included!*","Description
Kit includes:
• 100% Cotton Amigurumi Yarn
– Yellow
– Blue
– Purple
– Pink
– White
• Plastic Safety Bead Eyes x 16
• Pipe Cleaners x 2
• Stuffing
• Darning Needle
• Ergonomic Crochet Hook (Size G6/4.00mm)
• Foldable Scissors!"
2,Goblinoid Pattern Bundle,$14.99,"Patterns can be downloaded immediately after purchase
.
Make your own Goblin army perfect for DnD games, desk buddies, keychains, or a new goblin friend for your cat! This bundle includes 8 PDF patterns and over a dozen full length video tutorials including instructions for how to make each unique characters and customize them with clothes, weapons, and features!
.
Bundle includes:
• Goblin Pattern
• Troll Pattern
• Orc Pattern
• Ogre Pattern
• Hobgoblin Pattern
• Customize Your Goblinoid: Learn to make and add hair, scars, warts and rings
• Weapons and Items: Swords, Shields, Bows and various other weapons and items to add to your characters
• Clothes: Dress your characters with hats, jackets, helmets and hoods!
.
*Includes video tutorials for each section of the pattern!*
.
*Includes a fully interactive pdf with clickable links and check marks to keep track of progress*","Description
Materials:
• The Yarn
– Green (Goblins and Hobgoblin)
– Blue (Trolls)
– Teal (Orcs)
– Robins Egg Green (Ogres)
– Brown (Clothes and Weapons)
– White (Teeth)
– Yellow (Rings and Details)
• Plastic Safety Bead Eyes x 10
• 3 Pipe Cleaners
• 3 Nickles
• Stuffing
• Darning Needle (used for Ogre’s kickstand)
Gauge: 5 Rnds and 4 sts per 1” | Finished piece is about 2 – 4″ tall
Worked in the Round"
3,Crocheting 101 – Starter Kit,$19.99,"Yarning for a new hobby? Crocheting 101 will teach you not only how to crochet, but also how to make 6 unique projects along the way to not only help practice, but put your new skills to the test! Crocheting 101 is built to accommodate any learning style with 25 unique videos and a full 200 page eBook teaching you how to crochet stitch by stitch.
Kit includes all the yarn, hooks, stitch markers and needles I use throughout the series; everything needed to practice crocheting, make the 6 unique projects, and even have a bit left over to eat in case of emergency!","Description
Kit includes:
• The Yarn (2 Balls)
– High Quality Worsted Weight Cotton – Extra stitch definition and split resistant!*
• 1 Aluminum Size G6/4.00mm Crochet Hook with Handle
• Stuffing
• Darning Needles (1)
• Stitch Markers (2)
• 8mm Safety Eyes x 4
• Pipe cleaner
• Black Thread
• Crocheting 101: How to Crochet for Complete Beginners (Digital eBook Copy)
– Includes Crocheting 101 Video Series – 25 unique videos!
• Bonus Sticker!

Not included in the kit:
• Scissors"
4,Earth Day Pattern Bundle,,"To celebrate our planet, Club Crochet teamed up with 5 amazing amigurumi artists to each turn an endangered creature into adorable crocheted creations to raise money for the World Wildlife Fund! This bundle is donate to download and your level of donation will determine what patterns you get.
$5 – Choose 1 pattern from the bundle to download
$20 – Download the 2022 bundle of 5 patterns!
$30 + – Get this years bundle PLUS the previous 4 years bundles too! (11 patterns total!)
100% of the proceeds from this purchase will be donated to the World Wildlife Fund! Learn more","Description
**This listing is for a PDF pattern with instructions on making the character, not the character itself. Patterns can be downloaded immediately after purchase**
Super Bundle Includes:
Dugong – by @DrewbiesZoo
Malayan Tapir – by @OhanaCraft
Black Footed Ferret – by @LemonYarnCreations
Pangolin – by @SirPurlGrey
Snowy Plover – by @LouiesLoops
Black Rhino – by @SirPurlGrey
Sloth – by @LouiesLoops
Red Panda – by @LemonYarnCreations
Giant Tortoise – by @LouiesLoops
Sea Turtle – by @SirPurlGrey
Planet Earth – by @LouiesLoops
Each pattern includes a full length video tutorial and interactive PDF so you never miss a stitch!"
5,Space Amigurumi Crochet Pattern Bundle,$12.99,"Pattern bundle can be downloaded immediately after purchase
Learn to crochet a series of amigurumi space themed patterns! This pattern bundle includes printable PDF patterns and full length video tutorials for each pattern. Make over 10 different crochet space themed patterns and never miss a stitch with interactive pdfs with check marks and helpful hints, video tutorials for each pattern, and live crochet alongs to crochet your amigurumi with the creator!
Includes:
– Planet Earth
– Rocket Ship
– Astronaut
– UFO
– Alien
– Stars (6 variations)
– Moon
*Includes Digital PDFs and full length video tutorials for each pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– Yellow
– White
– Blue
– Green
– Red
•Size G6/4.00mm Hook
•Safety Eyes x8
•Needle
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1”
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
6,Photosynthesis Crochet Pattern Bundle,$14.99,"Patterns can be downloaded and accessed immediately after purchase
In this crochet pattern bundle we’ll be crocheting a gardens worth of amigurumi, from prickly customizable cacti, to standing sunflowers! This pattern bundle is designed for complete beginners to advanced crocheters and will help you not only learn to crochet, but advance your skill with new and exciting techniques! Every pattern in this bundle includes a full length video tutorials to go along side an interactive PDF with checkmarks and time codes to keep track of progress.
Pattern Bundle Includes:
• Beginner Cactus Amigurumi – Learn how to crochet!
• Flat Cactus Amigurumi
• Hunky Cactus Amigurumi
• Standing Sunflower Amigurumi
• Bonsai Tree Planter Amigurumi
• Secret Succulent Amigurumi
• Planet Earth Amigurumi
• Flower Pad, Coasters, and Clock Pattern
*Includes full length video tutorial so you never miss a stitch!*","Description
Recommended Materials:
(not included)
• The Yarn (Worsted Weight)
– Brown
– Forest Green
– Blue
– Beige
– Yellow
– Sage Green
• Mini Pom-Poms x 10 (Tutorial included*)
• Thread
• Pipe Cleaners x 3
• 9″ of Strong Wire
• Safety Eyes x 10
• Size G6/4.00mm Hook
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” long
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
7,Seasonal Kit — Sweet Stitches,$80,"In this seasonal kit inspired by sweets and candy, you'll find a variety of projects that feature sugary sweets, from chocolate covered strawberries, to ice cream and pie, and even donuts! With a bonus squeaker and keychain, stuffing, eyes, and thread, plus our exclusive Club Crochet Amigurumi Cotton yarn, this crochet kit has everything you need to never miss a stitch on these sugary sweeties.
What's Included:
This kit includes all the materials you'll need to make all 6 projects in the themed season PLUS 3 month's of Club Crochet Pattern Membership with access to over 300 additional patterns in the library!
The Materials:
6 Balls of 100% Cotton Yarn – 200 ft
Red, Cyan, Pink, Beige, White, and Brown
3 Mini Balls of Yarn – 25 ft
Yellow
Black
Green
6mm Safety Eyes x 10
8mm Safety Eyes x 10
Black Thread - 10 ft
Keychain
Squeaker
2 Stuffing Packets
The Projects:
This kit includes 10 Unique Projects designed for the materials included. However, it also includes dozens of additional alternative patterns that can also be made with your membership!
Giant Strawberry Amigurumi
Mini Pie Amigurumi
Donut Amigurumi
Eclair Amigurumi
Gummy Bear Amigurumi
Ice Cream Amigurumi
???? - Mystery pattern releases February 2023!
???? - Mystery pattern releases February 2023!
???? - Mystery pattern releases March 2023!
???? - Mystery pattern releases March 2023!
35+ Alternative patterns!
Beginner Friendly!
The projects in this kit are designed with beginners in mind with a scaling level of difficulty! You can start with our first, completely beginner friendly pattern, and work your way up in difficulty!
Full length video tutorials for each pattern!
Printer friendly PDFs
Interactive eBook
Bonus 10 chapter beginner series included
Weekly live crochet alongs with the designer!",
8,Pokemon Pattern Bundle,$9.99,"This pattern is available with a Club Crochet Membership, learn more and upgrade your account here
|| I’m already a Club Crochet Member
**This listing is for a PDF patterns with instructions on making the characters, not the characters themselves**
Pattern can be downloaded immediately after purchase
Have your own crocheted Bulbasaur, Charmander, or Squirtle sitting safe and sound on your dresser or hanging on your back pack! These little Pokemon amigurumi measure about 2 inches tall when finished and includes a unique video tutorial for each to help you get through the tough parts!
*Includes full length video tutorial for each pattern!*
*Includes a printable version of each pattern as well*
Bundle includes instructions and videos for:
– Bulbasaur
– Charmander
– Squirtle
– Eevee
*Includes full length video tutorial for each pattern!*
*Includes a printable version of the pattern as well*
Purchase on Etsy || Purchase on Ravelry","Description
Materials:
• The Yarn (Worsted Weight)
• Size G6/4.00mm Hook
• Plastic Saftey Bead Eyes
• Stuffing
• NeedleGauge: 5 Rnds and 4 sts per 1” | Finished pieces are about 2 – 4.5” longWorked in the Round The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– dc : Double Crochet
– Tr : Treble / Triple Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– FLO : Front Loops Only
– BLO : Back Loops Only"
9,Bumble Bee Bundle,$4.99,"**This listing is for a PDF patterns with instructions on making the characters, not the characters themselves**
Pattern can be downloaded immediately after purchase
Have your own hive of bumble bees hanging from a baby mobile, sitting safe and sound on your dresser, or hanging on your back pack! These crocheted bumble bees amigurumi measure from 2 to 5 inches long when finished and includes a unique video tutorial for each pattern to help you get through the tough parts!
*Includes full length video tutorial for each pattern!*
*Includes a printable version of each pattern as well*
Bundle includes instructions and videos for:
– Bumble Bees
– Queen Bee
– Bee Hive
– Flowers
*Includes full length video tutorial for each pattern!*
*Includes a printable version of the pattern as well*
Purchase on Etsy || Purchase on Ravelry","Description
Materials:
• The Yarn (Worsted Weight)
• Size G6/4.00mm Hook
• Plastic Saftey Bead Eyes
• Stuffing
• NeedleGauge: 5 Rnds and 4 sts per 1” | Finished pieces are about 2 – 4.5” longWorked in the Round The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– dc : Double Crochet
– Tr : Treble / Triple Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– FLO : Front Loops Only
– BLO : Back Loops Only"
